CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
4,Thu,2,2019,4,0,23,230,0,4,8
4,Thu,2,2018,2,0,13,202,0,13,8
4,Thu,3,2022,1,0,3,60,0,7,3
4,Thu,3,2021,1,0,17,196,0,5,3
4,Thu,3,2020,0,0,21,141,0,5,3
4,Thu,3,2019,0,0,15,152,0,3,9
4,Thu,3,2018,1,0,14,183,0,5,3
4,Thu,4,2022,0,0,12,84,0,2,1
4,Thu,4,2021,0,0,8,171,0,3,6
4,Thu,4,2020,0,0,16,152,0,6,5
4,Thu,4,2019,1,0,13,165,0,6,2
4,Thu,4,2018,1,0,17,183,0,5,7
4,Thu,5,2022,0,0,11,141,0,3,3
4,Thu,5,2021,1,0,30,278,0,11,8
4,Thu,5,2020,0,0,22,294,0,6,4
4,Thu,5,2019,0,0,20,382,0,9,1
4,Thu,5,2018,0,0,24,399,0,14,5
4,Thu,6,2022,1,0,23,335,0,11,5
4,Thu,6,2021,0,0,39,534,0,16,7
4,Thu,6,2020,0,0,34,468,0,19,5
4,Thu,6,2019,0,0,69,843,0,22,23
4,Thu,6,2018,0,0,47,826,0,22,12
4,Thu,7,2022,0,0,41,882,0,33,4
4,Thu,7,2021,0,0,71,1209,0,39,11
4,Thu,7,2020,0,0,62,839,0,39,8
4,Thu,7,2019,0,0,78,2038,0,57,24
4,Thu,7,2018,1,0,82,2038,0,72,15
